experiment,functional_name,x_value,score
synthetic_spectrum,resolution_cost,2.0,81.47295320191117
synthetic_spectrum,resolution_cost,2.1,81.47295320191117
synthetic_spectrum,resolution_cost,2.2,81.47295320191117
synthetic_spectrum,resolution_cost,2.3000000000000003,81.47295320191117
synthetic_spectrum,resolution_cost,2.4000000000000004,81.47295320191117
synthetic_spectrum,resolution_cost,2.5,81.47295320191117
synthetic_spectrum,resolution_cost,2.6,81.47295320191117
synthetic_spectrum,resolution_cost,2.7,81.47295320191117
synthetic_spectrum,resolution_cost,2.8000000000000003,81.47295320191117
synthetic_spectrum,resolution_cost,2.9000000000000004,81.47295320191117
synthetic_spectrum,resolution_cost,3.0,81.47295320191117
synthetic_spectrum,symmetry_pair_penalty,0.0,32.0
synthetic_spectrum,symmetry_pair_penalty,0.1,32.0
synthetic_spectrum,symmetry_pair_penalty,0.2,32.0
synthetic_spectrum,symmetry_pair_penalty,0.30000000000000004,32.0
synthetic_spectrum,symmetry_pair_penalty,0.4,32.0
synthetic_spectrum,symmetry_pair_penalty,0.5,32.0
synthetic_spectrum,symmetry_pair_penalty,0.6000000000000001,32.0
synthetic_spectrum,symmetry_pair_penalty,0.7000000000000001,32.0
synthetic_spectrum,symmetry_pair_penalty,0.8,32.0
synthetic_spectrum,symmetry_pair_penalty,0.9,32.0
synthetic_spectrum,symmetry_pair_penalty,1.0,32.0
synthetic_spectrum,symmetry_pair_penalty,1.1,32.0
synthetic_spectrum,symmetry_pair_penalty,1.2000000000000002,32.0
synthetic_spectrum,symmetry_pair_penalty,1.3,32.0
synthetic_spectrum,symmetry_pair_penalty,1.4000000000000001,32.0
synthetic_spectrum,symmetry_pair_penalty,1.5,32.0
synthetic_spectrum,symmetry_pair_penalty,1.6,32.0
synthetic_spectrum,symmetry_pair_penalty,1.7000000000000002,32.0
synthetic_spectrum,symmetry_pair_penalty,1.8,32.0
synthetic_spectrum,symmetry_pair_penalty,1.9000000000000001,32.0
synthetic_spectrum,symmetry_pair_penalty,2.0,32.0
synthetic_spectrum,symmetry_pair_penalty,2.1,32.0
synthetic_spectrum,symmetry_pair_penalty,2.2,32.0
synthetic_spectrum,symmetry_pair_penalty,2.3000000000000003,32.0
synthetic_spectrum,symmetry_pair_penalty,2.4000000000000004,32.0
synthetic_spectrum,symmetry_pair_penalty,2.5,32.0
synthetic_spectrum,symmetry_pair_penalty,2.6,32.0
synthetic_spectrum,symmetry_pair_penalty,2.7,32.0
synthetic_spectrum,symmetry_pair_penalty,2.8000000000000003,32.0
synthetic_spectrum,symmetry_pair_penalty,2.9000000000000004,32.0
synthetic_spectrum,symmetry_pair_penalty,3.0,32.0
synthetic_spectrum,entropy_plus_resolution,0.0,66.97326156606339
synthetic_spectrum,entropy_plus_resolution,0.1,66.97466948066022
synthetic_spectrum,entropy_plus_resolution,0.2,66.9760562156311
synthetic_spectrum,entropy_plus_resolution,0.30000000000000004,66.9774225719979
synthetic_spectrum,entropy_plus_resolution,0.4,66.97876927021275
synthetic_spectrum,entropy_plus_resolution,0.5,66.98009696487905
synthetic_spectrum,entropy_plus_resolution,0.6000000000000001,66.98140625579319
synthetic_spectrum,entropy_plus_resolution,0.7000000000000001,66.98269769642292
synthetic_spectrum,entropy_plus_resolution,0.8,66.98397180055025
synthetic_spectrum,entropy_plus_resolution,0.9,66.98522904756864
synthetic_spectrum,entropy_plus_resolution,1.0,66.98646988677199
synthetic_spectrum,entropy_plus_resolution,1.1,66.98769474087528
synthetic_spectrum,entropy_plus_resolution,1.2000000000000002,66.98890400893923
synthetic_spectrum,entropy_plus_resolution,1.3,66.99009806882621
synthetic_spectrum,entropy_plus_resolution,1.4000000000000001,66.99127727928291
synthetic_spectrum,entropy_plus_resolution,1.5,66.99244198172164
synthetic_spectrum,entropy_plus_resolution,1.6,66.9935925017563
synthetic_spectrum,entropy_plus_resolution,1.7000000000000002,66.99472915053626
synthetic_spectrum,entropy_plus_resolution,1.8,66.99585222591247
synthetic_spectrum,entropy_plus_resolution,1.9000000000000001,66.99696201346326
synthetic_spectrum,entropy_plus_resolution,2.0,66.99805878740136
synthetic_spectrum,entropy_plus_resolution,2.1,66.9991428113806
synthetic_spectrum,entropy_plus_resolution,2.2,67.00021433921628
synthetic_spectrum,entropy_plus_resolution,2.3000000000000003,67.00127361553162
synthetic_spectrum,entropy_plus_resolution,2.4000000000000004,67.00232087634024
synthetic_spectrum,entropy_plus_resolution,2.5,67.00335634957277
synthetic_spectrum,entropy_plus_resolution,2.6,67.0043802555551
synthetic_spectrum,entropy_plus_resolution,2.7,67.0053928074437
synthetic_spectrum,entropy_plus_resolution,2.8000000000000003,67.0063942116233
synthetic_spectrum,entropy_plus_resolution,2.9000000000000004,67.00738466807147
synthetic_spectrum,entropy_plus_resolution,3.0,67.00836437069336
riemann_sweep,entropy_spread_minus_concentration,-0.2,13.077499366402305
riemann_sweep,entropy_spread_minus_concentration,-0.19,14.666504737482104
riemann_sweep,entropy_spread_minus_concentration,-0.18000000000000002,16.659220893203653
riemann_sweep,entropy_spread_minus_concentration,-0.17,19.19504281044982
riemann_sweep,entropy_spread_minus_concentration,-0.16,22.47646168925409
riemann_sweep,entropy_spread_minus_concentration,-0.15000000000000002,26.805049344022013
riemann_sweep,entropy_spread_minus_concentration,-0.14,32.64248398767474
riemann_sweep,entropy_spread_minus_concentration,-0.13,40.71747767891882
riemann_sweep,entropy_spread_minus_concentration,-0.12000000000000001,52.22009903567654
riemann_sweep,entropy_spread_minus_concentration,-0.11000000000000001,69.16980993292609
riemann_sweep,entropy_spread_minus_concentration,-0.1,95.14620969495972
riemann_sweep,entropy_spread_minus_concentration,-0.09000000000000001,136.82135675189227
riemann_sweep,entropy_spread_minus_concentration,-0.08000000000000002,207.3846134878261
riemann_sweep,entropy_spread_minus_concentration,-0.07,334.79578835825555
riemann_sweep,entropy_spread_minus_concentration,-0.06,583.5340918096581
riemann_sweep,entropy_spread_minus_concentration,-0.05000000000000002,1118.3403525356787
riemann_sweep,entropy_spread_minus_concentration,-0.04000000000000001,2415.6419895555073
riemann_sweep,entropy_spread_minus_concentration,-0.03,6062.000812157239
riemann_sweep,entropy_spread_minus_concentration,-0.020000000000000018,17965.537410331537
riemann_sweep,entropy_spread_minus_concentration,-0.010000000000000009,56006.940146823035
riemann_sweep,entropy_spread_minus_concentration,0.0,100993.78347021063
riemann_sweep,entropy_spread_minus_concentration,0.009999999999999981,56006.940146823035
riemann_sweep,entropy_spread_minus_concentration,0.01999999999999999,17965.537410331548
riemann_sweep,entropy_spread_minus_concentration,0.03,6062.000812157239
riemann_sweep,entropy_spread_minus_concentration,0.03999999999999998,2415.6419895555073
riemann_sweep,entropy_spread_minus_concentration,0.04999999999999999,1118.3403525356787
