experiment,eps,I2,passed,reason
riemann_sweep,-0.2,20.65376616447603,,
riemann_sweep,-0.19,21.483332099240958,,
riemann_sweep,-0.18000000000000002,22.409267074518947,,
riemann_sweep,-0.17,23.450313430934422,,
riemann_sweep,-0.16,24.630708407368463,,
riemann_sweep,-0.15000000000000002,25.9824016732895,,
riemann_sweep,-0.14,27.548411541368523,,
riemann_sweep,-0.13,29.388029001569333,,
riemann_sweep,-0.12000000000000001,31.58510440323671,,
riemann_sweep,-0.11000000000000001,34.261639868477566,,
riemann_sweep,-0.1,37.60084486781505,,
riemann_sweep,-0.09000000000000001,41.887775362658715,,
riemann_sweep,-0.08000000000000002,47.584223787088334,,
riemann_sweep,-0.07,55.47404172122691,,
riemann_sweep,-0.06,66.96245367756971,,
riemann_sweep,-0.05000000000000002,84.73507450605392,,
riemann_sweep,-0.04000000000000001,114.30970741607148,,
riemann_sweep,-0.03,167.8295041953823,,
riemann_sweep,-0.020000000000000018,272.01864891145203,,
riemann_sweep,-0.010000000000000009,461.9504276491969,,
riemann_sweep,0.0,612.0261499231958,,
riemann_sweep,0.009999999999999981,461.9504276491969,,
riemann_sweep,0.01999999999999999,272.0186489114521,,
riemann_sweep,0.03,167.8295041953823,,
riemann_sweep,0.03999999999999998,114.30970741607148,,
riemann_sweep,0.04999999999999999,84.73507450605393,,
riemann_sweep,0.06,66.96245367756963,,
riemann_sweep,0.07,55.47404172122684,,
riemann_sweep,0.08000000000000002,47.58422378708829,,
riemann_sweep,0.08999999999999997,41.887775362658736,,
riemann_sweep,0.09999999999999998,37.60084486781505,,
riemann_sweep,0.10999999999999999,34.261639868477566,,
riemann_sweep,0.12,31.585104403236716,,
riemann_sweep,0.13,29.38802900156934,,
riemann_sweep,0.14,27.54841154136853,,
riemann_sweep,0.15000000000000002,25.982401673289502,,
riemann_sweep,0.15999999999999998,24.630708407368477,,
riemann_sweep,0.16999999999999998,23.450313430934433,,
riemann_sweep,0.18,22.409267074518958,,
riemann_sweep,0.19,21.483332099240958,,
riemann_sweep,0.2,20.653766164476032,,
riemann_sweep_verdict,,,False,minimum shifted to eps=-0.200000
