experiment,eps,I,passed,reason,expected_minimizer
riemann_regularized_log,-0.2,4.8193933380108405,,,
riemann_regularized_log,-0.19,4.858461305918816,,,
riemann_regularized_log,-0.18000000000000002,4.900337715570765,,,
riemann_regularized_log,-0.17,4.9454164698827725,,,
riemann_regularized_log,-0.16,4.994185501923436,,,
riemann_regularized_log,-0.15000000000000002,5.04725834108095,,,
riemann_regularized_log,-0.14,5.105418357248356,,,
riemann_regularized_log,-0.13,5.169681244279834,,,
riemann_regularized_log,-0.12000000000000001,5.241383833769462,,,
riemann_regularized_log,-0.11000000000000001,5.322310989621373,,,
riemann_regularized_log,-0.1,5.414877552443881,,,
riemann_regularized_log,-0.09000000000000001,5.522389540190316,,,
riemann_regularized_log,-0.08000000000000002,5.649418264683654,,,
riemann_regularized_log,-0.07,5.802331489347335,,,
riemann_regularized_log,-0.06,5.990030017115521,,,
riemann_regularized_log,-0.05000000000000002,6.2249023172896365,,,
riemann_regularized_log,-0.04000000000000001,6.5237719157887275,,,
riemann_regularized_log,-0.03,6.907340743036511,,,
riemann_regularized_log,-0.020000000000000018,7.389879506741086,,,
riemann_regularized_log,-0.010000000000000009,7.919212560169063,,,
riemann_regularized_log,0.0,8.200440800010007,,,
riemann_regularized_log,0.009999999999999981,7.919212560169063,,,
riemann_regularized_log,0.01999999999999999,7.389879506741086,,,
riemann_regularized_log,0.03,6.907340743036511,,,
riemann_regularized_log,0.03999999999999998,6.5237719157887275,,,
riemann_regularized_log,0.04999999999999999,6.2249023172896365,,,
riemann_regularized_log,0.06,5.9900300171155205,,,
riemann_regularized_log,0.07,5.802331489347333,,,
riemann_regularized_log,0.08000000000000002,5.6494182646836535,,,
riemann_regularized_log,0.08999999999999997,5.522389540190316,,,
riemann_regularized_log,0.09999999999999998,5.414877552443881,,,
riemann_regularized_log,0.10999999999999999,5.322310989621373,,,
riemann_regularized_log,0.12,5.241383833769462,,,
riemann_regularized_log,0.13,5.169681244279834,,,
riemann_regularized_log,0.14,5.105418357248356,,,
riemann_regularized_log,0.15000000000000002,5.04725834108095,,,
riemann_regularized_log,0.15999999999999998,4.994185501923436,,,
riemann_regularized_log,0.16999999999999998,4.945416469882773,,,
riemann_regularized_log,0.18,4.900337715570765,,,
riemann_regularized_log,0.19,4.858461305918816,,,
riemann_regularized_log,0.2,4.8193933380108405,,,
riemann_regularized_log_verdict,,,False,minimum shifted to eps=-0.200000,0.0
